blue team,red team,result,game time,blue gold,red gold
Evil Geniuses,Dignitas,Victory,30:58,62.5,48.2
FlyQuest,Team Liquid,Defeat,24:50,37,52.7
CLG,Immortals,Victory,34:11,65.1,53.4
Cloud9,CLG,Victory,33:01,66.7,54.5
Evil Geniuses,Cloud9,Victory,45:30,80.3,77.4
CLG,Cloud9,Victory,44:20,85.8,76
TSM,FlyQuest,Defeat,36:10,67.4,69.2
Cloud9,CLG,Victory,32:49,61,55.2
Team Liquid,100 Thieves,Defeat,39:31,65.9,75.6
CLG,Cloud9,Victory,31:44,61,49.8
Cloud9,CLG,Victory,37:10,69.7,64.1
Dignitas,Golden Guardians,Defeat,38:49,69.4,71
FlyQuest,TSM,Defeat,31:28,48.2,62.8
Cloud9,FlyQuest,Victory,29:39,58.7,48.2
FlyQuest,TSM,Victory,26:39,51.2,41.3
100 Thieves,Team Liquid,Victory,30:30,60.7,45.7
TSM,FlyQuest,Defeat,26:37,43.2,56.8
TSM,FlyQuest,Victory,35:24,68.1,58.9
Team Liquid,100 Thieves,Defeat,25:13,39.4,47.5
100 Thieves,Team Liquid,Defeat,32:56,52.2,61.8
FlyQuest,TSM,Defeat,42:10,68.5,77.5
100 Thieves,Team Liquid,Defeat,28:17,44.2,55.9
CLG,Golden Guardians,Victory,45:09,85.3,68.9
100 Thieves,Team Liquid,Victory,31:39,54.8,50.4
Golden Guardians,CLG,Victory,32:09,59.9,52.1
Evil Geniuses,Cloud9,Defeat,31:38,48.8,64
CLG,Golden Guardians,Victory,35:28,63.2,58.2
Cloud9,Evil Geniuses,Victory,35:13,65.5,59.9
Golden Guardians,CLG,Victory,34:47,64,54.6
Cloud9,Evil Geniuses,Defeat,37:29,63.4,69
CLG,Golden Guardians,Victory,40:46,80.6,64.7
Cloud9,Evil Geniuses,Victory,34:25,62.3,57.1
Team Liquid,CLG,Defeat,26:10,43.7,53.5
CLG,Team Liquid,Victory,41:10,75.6,67.5
Team Liquid,CLG,Victory,29:03,58.2,46.5
CLG,Team Liquid,Defeat,23:46,34.9,46.3
Evil Geniuses,Team Liquid,Victory,38:40,69.8,59.7
CLG,Team Liquid,Defeat,30:37,47.2,59.4
Evil Geniuses,TSM,Defeat,46:24,78.7,83.5
Team Liquid,Evil Geniuses,Victory,33:31,64.2,52.2
Evil Geniuses,TSM,Victory,36:28,68.3,58.4
Evil Geniuses,Team Liquid,Defeat,36:24,58.8,66.9
TSM,Evil Geniuses,Defeat,33:59,52.1,63.1
Evil Geniuses,Team Liquid,Victory,30:31,63.5,47.5
Evil Geniuses,TSM,Defeat,28:60,44.5,57.2
Team Liquid,Evil Geniuses,Defeat,41:41,65.4,72.2
Evil Geniuses,TSM,Victory,42:32,73.8,67.2
100 Thieves,Cloud9,Defeat,43:56,77.9,78.3
100 Thieves,Cloud9,Victory,36:36,68.1,58.5
MAD Lions,Team Vitality,Victory,32:07,65.4,53.4
Cloud9,100 Thieves,Victory,31:12,59.2,46.1
Rogue,SK Gaming,Victory,27:36,52.8,43.4
100 Thieves,Cloud9,Defeat,43:24,72.9,79.2
Excel,G2 Esports,Defeat,41:53,70.7,80.6
100 Thieves,Evil Geniuses,Defeat,36:08,56.9,68.6
Astralis,Misfits Gaming,Defeat,41:03,69.6,77.5
100 Thieves,Evil Geniuses,Victory,29:33,53.4,47.4
Fnatic,Team BDS,Victory,34:45,64.1,59.8
Evil Geniuses,100 Thieves,Victory,30:35,66.1,44.4
100 Thieves,Evil Geniuses,Victory,33:23,68.5,52.1
Rogue,Misfits Gaming,Victory,34:11,63.3,56.1
Evil Geniuses,100 Thieves,Defeat,30:28,49.3,58.8
Excel,Team BDS,Defeat,37:28,63.3,67.8
Cloud9,100 Thieves,Victory,27:42,54,43
SK Gaming,MAD Lions,Victory,54:54,99.2,102.3
G2 Esports,Astralis,Victory,34:38,67.3,55.2
100 Thieves,Cloud9,Defeat,24:54,38.6,50
Team Vitality,Fnatic,Defeat,33:41,58.3,59
Team BDS,Misfits Gaming,Defeat,29:52,46.5,59.2
100 Thieves,Cloud9,Defeat,30:01,46.2,59.6
Excel,Team Vitality,Victory,37:45,68.5,63.4
Misfits Gaming,Excel,Victory,31:42,61.6,52.9
Rogue,Astralis,Victory,24:37,50.9,38.3
Astralis,Fnatic,Defeat,41:40,68.8,79.8
G2 Esports,SK Gaming,Victory,32:11,61.4,50.2
SK Gaming,Fnatic,Defeat,33:30,53.8,64.7
Team BDS,Team Vitality,Defeat,27:46,43.9,59.6
MAD Lions,Rogue,Defeat,33:09,53.2,66.5
MAD Lions,G2 Esports,Victory,26:42,54.3,41.9
SK Gaming,Excel,Defeat,37:29,61.6,66.8
MAD Lions,Astralis,Victory,32:07,59.6,56.1
Team BDS,Rogue,Defeat,28:20,45.9,57.8
Fnatic,Misfits Gaming,Victory,23:40,48.5,38.7
G2 Esports,Team Vitality,Defeat,29:54,47.2,59.5
Team BDS,Astralis,Victory,31:29,61.1,47.8
Excel,MAD Lions,Defeat,39:41,65.1,72.4
Team Vitality,SK Gaming,Victory,27:36,57.6,48.3
Rogue,Fnatic,Victory,29:11,57.5,47.5
G2 Esports,Misfits Gaming,Victory,35:33,70.6,69.1
Astralis,SK Gaming,Defeat,30:51,53,61
Team BDS,SK Gaming,Victory,29:13,55.2,45.3
Rogue,Excel,Victory,22:46,47.6,36.6
Team Vitality,Misfits Gaming,Victory,28:34,57.1,48.8
Astralis,Excel,Defeat,35:38,56.9,65.5
MAD Lions,Misfits Gaming,Defeat,28:11,45.4,57
G2 Esports,Team BDS,Victory,33:06,64.6,51.6
MAD Lions,Fnatic,Defeat,32:38,54.2,62.2
Rogue,Team Vitality,Victory,36:04,69.8,62.6
Fnatic,G2 Esports,Defeat,37:41,62.1,67.9
Misfits Gaming,Team BDS,Victory,35:27,69.1,60.1
Misfits Gaming,SK Gaming,Victory,30:06,64.4,50.4
MAD Lions,Team BDS,Victory,45:21,86.2,78.8
Astralis,Rogue,Victory,35:43,70.4,60.3
Excel,Team Vitality,Victory,37:39,73.5,63.1
Astralis,Team Vitality,Defeat,36:03,67.3,68.6
Excel,Fnatic,Victory,28:54,58.5,51.9
Fnatic,SK Gaming,Victory,24:59,50.5,36.3
MAD Lions,G2 Esports,Defeat,27:00,44.6,53
G2 Esports,Rogue,Defeat,24:56,38.6,50.6
Team BDS,Excel,Defeat,39:04,67.4,73.5
MAD Lions,SK Gaming,Defeat,38:41,64.8,67.9
Rogue,Misfits Gaming,Defeat,35:53,56.9,68
Astralis,G2 Esports,Defeat,30:54,51,62.6
Fnatic,Team Vitality,Victory,27:39,59.2,46
Fnatic,Astralis,Defeat,35:26,62.5,66.4
Misfits Gaming,Excel,Victory,35:43,71.9,59.6
Team BDS,Team Vitality,Defeat,40:03,68.3,75.2
SK Gaming,G2 Esports,Victory,40:34,78.4,70.5
Rogue,MAD Lions,Victory,28:17,58,47.4
Excel,Astralis,Victory,39:48,74.8,65.9
SK Gaming,Team BDS,Victory,39:44,69.5,69.3
MAD Lions,Misfits Gaming,Defeat,35:45,58.9,67.9
Team Vitality,Rogue,Defeat,31:15,53.3,57.1
Fnatic,G2 Esports,Victory,31:36,61.1,48.7
Excel,MAD Lions,Victory,25:52,51.8,42.3
Astralis,Team BDS,Defeat,34:21,62.3,67.8
SK Gaming,Team Vitality,Defeat,34:12,55.3,63.7
Fnatic,Rogue,Victory,30:09,58.6,47.5
G2 Esports,Misfits Gaming,Defeat,38:53,75.6,78.4
Misfits Gaming,Team Vitality,Defeat,38:05,62.4,71.1
SK Gaming,Astralis,Defeat,27:09,41,52.3
Excel,Rogue,Defeat,29:35,48.7,60
G2 Esports,Team BDS,Victory,30:59,58.2,50.1
Fnatic,MAD Lions,Victory,32:32,63.8,54.4
SK Gaming,Rogue,Victory,39:28,76.8,66.4
Astralis,Misfits Gaming,Defeat,41:40,70.7,80.9
Team Vitality,MAD Lions,Defeat,33:33,55.6,66.3
Rogue,Misfits Gaming,Victory,37:60,76,61.7
G2 Esports,Excel,Victory,26:41,54.2,41.1
Team BDS,Fnatic,Defeat,24:50,38.9,53.7
Misfits Gaming,Rogue,Defeat,31:10,50.3,62.5
Misfits Gaming,Rogue,Victory,23:30,50.1,38.5
Excel,SK Gaming,Victory,28:21,58.7,44.6
Rogue,Misfits Gaming,Victory,22:41,47.9,34.1
Fnatic,G2 Esports,Victory,26:09,53,42.2
Astralis,MAD Lions,Defeat,32:42,53.5,62.1
G2 Esports,Fnatic,Victory,34:37,64,52.7
Fnatic,G2 Esports,Victory,35:05,69,55.4
Rogue,Team BDS,Victory,32:57,67.7,52.1
G2 Esports,Fnatic,Defeat,29:56,48.8,51.1
Excel,Team Vitality,Victory,37:14,71.1,62.4
Misfits Gaming,Fnatic,Victory,36:42,67.6,70
Team Vitality,Excel,Victory,31:06,60.9,53.6
Team Vitality,G2 Esports,Defeat,37:48,63,72.5
Misfits Gaming,G2 Esports,Defeat,33:55,54.5,61.7
Excel,Team Vitality,Victory,37:56,69,67.6
Team Vitality,Excel,Victory,28:06,56.6,49.8
SK Gaming,Misfits Gaming,Victory,28:28,63.7,49.6
Team Vitality,Astralis,Victory,24:37,52.9,37.6
Misfits Gaming,G2 Esports,Defeat,26:55,40.2,55.7
G2 Esports,Misfits Gaming,Victory,23:36,50.9,38.6
Excel,Team Vitality,Defeat,32:07,50.3,63.3
G2 Esports,Team Vitality,Victory,32:24,61.2,53
MAD Lions,Team BDS,Victory,36:26,75.4,65.4
Rogue,Fnatic,Defeat,43:55,78.6,83.3
Rogue,Fnatic,Defeat,32:34,53.5,65.9
Team Vitality,G2 Esports,Defeat,28:36,47.1,54.2
Fnatic,Excel,Victory,29:51,60.7,48.5
Rogue,G2 Esports,Victory,26:52,59,42.4
Fnatic,Rogue,Defeat,32:16,56,65.3
Team Vitality,G2 Esports,Defeat,46:16,78.3,86.2
Fnatic,Rogue,Defeat,23:13,34.3,51.5
Fnatic,Rogue,Defeat,23:25,38.5,46.6
Fnatic,G2 Esports,Defeat,28:54,48.3,58.2
Fnatic,G2 Esports,Defeat,31:41,48,61.3
Fnatic,G2 Esports,Defeat,40:36,71.8,75.5
Rogue,G2 Esports,Defeat,34:00,55.2,63.7
Rogue,G2 Esports,Defeat,32:42,55.5,63.1
G2 Esports,Rogue,Victory,38:44,74.1,66.4
Team Vitality,MAD Lions,Defeat,34:45,53.5,59
SK Gaming,Team BDS,Victory,44:13,78.1,74.4
Excel,Misfits Gaming,Victory,26:04,50,38.4
SK Gaming,Astralis,Defeat,29:29,50,60.9
G2 Esports,Astralis,Victory,34:09,67.7,50.6
Excel,Team Vitality,Victory,35:31,65.1,64
Rogue,Fnatic,Defeat,34:03,57.5,70.8
Astralis,Team BDS,Victory,31:08,56.5,47.7
Misfits Gaming,Rogue,Defeat,36:23,60.6,72.5
SK Gaming,MAD Lions,Defeat,27:53,42.5,55.9
G2 Esports,Team BDS,Defeat,35:11,59.9,66.3
Fnatic,MAD Lions,Defeat,30:39,49.3,56.9
Misfits Gaming,Team Vitality,Defeat,28:24,44.7,57.8
Misfits Gaming,SK Gaming,Victory,30:22,60.1,47.4
Excel,Fnatic,Victory,29:11,59.2,48.4
